ACCIONA,190.700,0.42,0.80,13.44,191.400,188.800,25760,10461,11:15,2022-04-14 11:30:18.310853
ACERINOX,9.752,0.00,0.00,-14.34,9.894,9.728,197623,2638,11:15,2022-04-14 11:30:18.310853
ACS,24.910,0.52,0.13,7.79,24.960,24.760,97285,7340,11:14,2022-04-14 11:30:18.310853
AENA,150.500,1.52,2.25,8.43,150.500,149.400,13973,22575,11:15,2022-04-14 11:30:18.310853
ALMIRALL,12.360,0.49,0.06,9.38,12.360,12.260,74745,2222,11:10,2022-04-14 11:30:18.310853
AMADEUS IT GROUP,56.680,0.28,0.16,-4.96,57.080,56.360,120108,25534,11:15,2022-04-14 11:30:18.310853
ARCELORMITTAL,29.995,1.10,0.33,5.71,30.400,29.930,154396,28130,11:15,2022-04-14 11:30:18.310853
BANCO SABADELL,0.736,0.38,0.00,29.19,0.744,0.733,5038651,4139,11:15,2022-04-14 11:30:18.310853
BANKINTER,5.246,1.31,0.07,17.67,5.298,5.204,908260,4715,11:14,2022-04-14 11:30:18.310853
BBVA,4.954,0.01,0.00,-1.31,4.995,4.939,2408189,32531,11:15,2022-04-14 11:30:18.310853
CAIXABANK,3.026,1.10,0.03,25.35,3.055,3.018,3717747,24392,11:15,2022-04-14 11:30:18.310853
CELLNEX TELECOM,44.790,-0.53,-0.24,-12.49,45.390,44.730,137501,30427,11:15,2022-04-14 11:30:18.310853
CIE AUTOMOTIVE,19.970,0.10,0.02,-26.04,20.080,19.820,62433,2447,11:10,2022-04-14 11:30:18.310853
COLONIAL,8.300,-0.06,-0.01,0.61,8.350,8.280,104889,4479,11:15,2022-04-14 11:30:18.310853
ENAGAS,20.880,0.38,0.08,2.35,20.970,20.720,357782,5470,11:15,2022-04-14 11:30:18.310853
ENDESA,19.530,0.46,0.09,-3.32,19.570,19.250,117391,20677,11:15,2022-04-14 11:30:18.310853
FERROVIAL,25.460,0.16,0.04,-7.62,25.630,25.430,134764,18678,11:15,2022-04-14 11:30:18.310853
FLUIDRA,25.300,0.72,0.18,-28.12,25.420,25.120,59906,4949,11:14,2022-04-14 11:30:18.310853
GRIFOLS,15.275,0.99,0.15,-9.48,15.370,15.165,174411,6509,11:15,2022-04-14 11:30:18.310853
IAG,1.737,2.78,0.05,1.94,1.739,1.702,8095185,8635,11:15,2022-04-14 11:30:18.310853
IBERDROLA,10.360,-0.29,-0.03,1.20,10.475,10.290,1479598,66693,11:15,2022-04-14 11:30:18.310853
INDITEX,20.400,0.69,0.14,-28.50,20.490,20.280,773213,63580,11:15,2022-04-14 11:30:18.310853
INDRA,9.180,1.38,0.12,-3.57,9.195,9.090,122083,1622,11:15,2022-04-14 11:30:18.310853
MAPFRE,1.863,-0.32,-0.01,3.18,1.885,1.853,711874,5737,11:15,2022-04-14 11:30:18.310853
MELIÁ HOTELS,6.695,1.90,0.12,11.55,6.715,6.575,229210,1476,11:12,2022-04-14 11:30:18.310853
MERLIN PROP,10.680,-0.65,-0.07,11.60,10.800,10.660,92268,5017,11:14,2022-04-14 11:30:18.310853
NATURGY,29.520,0.85,0.25,5.27,29.700,29.220,39534,28623,11:14,2022-04-14 11:30:18.310853
PHARMA MAR,76.480,-0.23,-0.18,34.13,77.340,76.300,13953,1404,11:14,2022-04-14 11:30:18.310853
RED ELÉCTRICA,19.195,0.13,0.02,2.36,19.300,19.040,188346,10386,11:15,2022-04-14 11:30:18.310853
REPSOL,13.580,0.33,0.05,33.73,13.695,13.535,979274,21292,11:15,2022-04-14 11:30:18.310853
ROVI,66.050,-0.45,-0.30,-10.50,67.300,66.050,13443,3703,11:15,2022-04-14 11:30:18.310853
SANTANDER,3.142,0.61,0.02,6.87,3.158,3.129,5125700,54493,11:15,2022-04-14 11:30:18.310853
SIEMENS GAMESA,14.995,-0.93,-0.14,-28.83,15.165,14.930,254238,10214,11:15,2022-04-14 11:30:18.310853
SOLARIA,21.630,0.05,0.01,26.34,21.870,21.430,119598,2703,11:15,2022-04-14 11:30:18.310853
TELEFÓNICA,4.908,-0.61,-0.03,27.41,4.950,4.892,3070126,28364,11:15,2022-04-14 11:30:18.310853
ACCIONA,192.900,1.58,3.00,14.75,192.900,188.800,33933,10582,12:15,2022-04-14 12:30:08.357793
ACERINOX,9.792,0.41,0.04,-13.99,9.894,9.714,342719,2649,12:15,2022-04-14 12:30:08.357793
ACS,24.920,0.56,0.14,7.83,24.960,24.760,127209,7343,12:15,2022-04-14 12:30:08.357793
AENA,151.300,2.06,3.05,9.01,151.300,149.400,18501,22695,12:15,2022-04-14 12:30:08.357793
ALMIRALL,12.370,0.57,0.07,9.47,12.370,12.260,88369,2224,12:00,2022-04-14 12:30:08.357793
AMADEUS IT GROUP,57.080,0.99,0.56,-4.29,57.200,56.360,191426,25714,12:15,2022-04-14 12:30:08.357793
ARCELORMITTAL,30.200,1.79,0.53,6.43,30.400,29.930,176895,28322,12:14,2022-04-14 12:30:08.357793
BANCO SABADELL,0.742,1.26,0.01,30.31,0.744,0.733,6871836,4175,12:15,2022-04-14 12:30:08.357793
BANKINTER,5.284,2.05,0.11,18.52,5.298,5.204,999165,4750,12:15,2022-04-14 12:30:08.357793
BBVA,4.996,0.85,0.04,-0.49,4.996,4.939,4062507,33309,12:15,2022-04-14 12:30:08.357793
CAIXABANK,3.041,1.60,0.05,25.97,3.055,3.018,4571785,24512,12:14,2022-04-14 12:30:08.357793
CELLNEX TELECOM,44.850,-0.40,-0.18,-12.37,45.390,44.690,158828,30468,12:15,2022-04-14 12:30:08.357793
CIE AUTOMOTIVE,19.950,0.00,0.00,-26.11,20.080,19.820,84110,2445,12:11,2022-04-14 12:30:08.357793
COLONIAL,8.345,0.48,0.04,1.15,8.360,8.280,149247,4503,12:15,2022-04-14 12:30:08.357793
ENAGAS,20.900,0.48,0.10,2.45,20.970,20.720,391987,5476,12:15,2022-04-14 12:30:08.357793
ENDESA,19.540,0.51,0.10,-3.27,19.660,19.250,177540,20688,12:11,2022-04-14 12:30:08.357793
FERROVIAL,25.550,0.51,0.13,-7.29,25.630,25.420,151456,18744,12:15,2022-04-14 12:30:08.357793
FLUIDRA,25.460,1.35,0.34,-27.67,25.460,25.120,85607,4981,12:07,2022-04-14 12:30:08.357793
GRIFOLS,15.245,0.79,0.12,-9.66,15.370,15.165,202638,6496,12:15,2022-04-14 12:30:08.357793
IAG,1.733,2.54,0.04,1.70,1.740,1.702,10547991,8616,12:14,2022-04-14 12:30:08.357793
IBERDROLA,10.440,0.48,0.05,1.98,10.475,10.290,2443270,67208,12:15,2022-04-14 12:30:08.357793
INDITEX,20.380,0.59,0.12,-28.57,20.490,20.280,1015681,63517,12:15,2022-04-14 12:30:08.357793
INDRA,9.240,2.04,0.18,-2.94,9.245,9.090,167158,1632,12:11,2022-04-14 12:30:08.357793
MAPFRE,1.871,0.11,0.00,3.63,1.885,1.853,889235,5762,12:13,2022-04-14 12:30:08.357793
MELIÁ HOTELS,6.705,2.05,0.13,11.71,6.730,6.575,287040,1478,12:14,2022-04-14 12:30:08.357793
MERLIN PROP,10.770,0.19,0.02,12.54,10.800,10.660,140676,5059,12:12,2022-04-14 12:30:08.357793
NATURGY,29.700,1.47,0.43,5.91,29.790,29.220,61825,28798,12:14,2022-04-14 12:30:08.357793
PHARMA MAR,76.660,0.00,0.00,34.44,77.340,76.300,16640,1407,12:15,2022-04-14 12:30:08.357793
RED ELÉCTRICA,19.320,0.78,0.15,3.02,19.330,19.040,253282,10454,12:15,2022-04-14 12:30:08.357793
