2020-12-31,WHO issues its first emergency use validation for a COVID-19 ...,WHO | World Health Organization,"Dec 31, 2020"
2020-12-31,South Africans Swap Firecrackers for Candles Amid Pandemic,USNews.com,"Dec 31, 2020"
2020-12-31,5 important global stories you may have missed in 2020,ABC News,"Dec 31, 2020"
2020-12-31,"New year, new uncertainty: the big events due in 2021",The Guardian,"Dec 31, 2020"
2020-12-31,Disease Outbreak News: SARS-CoV-2 Variants (31 ...,ReliefWeb,"Dec 31, 2020"
2020-12-31,"Top 10 world news: New year celebrations begin, Iran targets US, and more",WION,"Dec 31, 2020"
2020-12-31,Peruvian president 'deplores' two deaths in farm workers ...,Reuters,"Dec 31, 2020"
2020-12-31,Covid-19 pandemic meets 500th anniversary of 1st global voyage,Hindustan Times,"Dec 31, 2020"
2020-12-31,"Harry and Meghan set goal to 'build a better world' as they announce 
foundation partnerships",Sky News,"Dec 31, 2020"
2020-12-31,China approves first homegrown vaccine said to be 79.3% effective,Hindustan Times,"Dec 31, 2020"
2020-12-31,In pictures: New Year’s celebrations amid Covid-19,Hindustan Times,"Dec 31, 2020"
2020-12-31,British family doctors criticise change of plan on vaccine ...,Reuters,"Dec 31, 2020"
2020-12-31,Britain backtracks over Brexit curbs on cross-border swaps ...,Reuters,"Dec 31, 2020"
2020-12-31,Israel marshals supplies in dash for full vaccination of at-risk groups,Reuters,"Dec 31, 2020"
2020-12-31,Royal Assent means Brexit all set for New Year’s Day,The Indian Express,"Dec 31, 2020"
2020-12-31,Dozens arrested for vandalising Hindu temple in Pakistan,Hindustan Times,"Dec 31, 2020"
2020-12-31,Singapore further tightens Covid-19 measures on air crew,Hindustan Times,"Dec 31, 2020"
2020-12-31,Indian shares start 2021 on all-time high; IT rises,Reuters,"Dec 31, 2020"
2020-12-31,"Harsh winter can bring illness, death to Afghan kids: Report",Hindustan Times,"Dec 31, 2020"
2020-12-31,UK: Royal honours for Indian-origin Covid-19 warriors,Hindustan Times,"Dec 31, 2020"
2020-12-31,"Blast at Aden airport kills 25, wounds 110: Yemeni officials",The Indian Express,"Dec 31, 2020"
2020-12-31,Xi hails China's economic growth despite pandemic setback,AP News,"Dec 31, 2020"
2020-12-31,"SolarWinds hackers accessed Microsoft source code, the ...",Reuters,"Dec 31, 2020"
2020-12-31,"Rapper MF Doom dies at 49, his wife says. She posted news ...",Chicago Tribune,"Dec 31, 2020"
2020-12-31,Rallying-Dakar racers ready for Saudi desert after COVID ...,Reuters,"Dec 31, 2020"
2020-12-31,Swiss National Bank eased currency interventions to 10.97 ...,Reuters,"Dec 31, 2020"
2020-12-31,Twenty die in Algeria road accident,Reuters,"Dec 31, 2020"
2020-12-31,UPDATE 1-UK two-year bonds finish 2020 at record high on ...,Reuters,"Dec 31, 2020"
2020-12-31,UPDATE 2-China central bank says to cap property loans by ...,Reuters,"Dec 31, 2020"
2020-12-31,Pope misses leading New Year services because of leg pain ...,Reuters,"Dec 31, 2020"
