ACCIONA,190.600,0.95,1.80,13.38,190.800,186.900,14133,10456,09:15,2022-04-25 09:30:10.034279
ACERINOX,9.702,-2.24,-0.22,-14.78,9.852,9.660,268934,2625,09:16,2022-04-25 09:30:10.034279
ACS,24.410,-0.61,-0.15,5.62,24.500,24.160,79225,7193,09:16,2022-04-25 09:30:10.034279
AENA,147.100,-1.18,-1.75,5.98,147.300,145.150,8322,22065,09:15,2022-04-25 09:30:10.034279
ALMIRALL,11.900,-0.50,-0.06,5.31,11.910,11.830,12849,2139,09:15,2022-04-25 09:30:10.034279
AMADEUS IT GROUP,58.500,-1.05,-0.62,-1.91,58.540,57.440,40279,26354,09:16,2022-04-25 09:30:10.034279
ARCELORMITTAL,28.265,-4.35,-1.28,-0.39,28.845,28.180,194470,26507,09:15,2022-04-25 09:30:10.034279
BANCO SABADELL,0.770,-1.38,-0.01,35.19,0.772,0.763,2366654,4332,09:14,2022-04-25 09:30:10.034279
BANKINTER,5.480,-1.62,-0.09,22.92,5.518,5.424,218141,4926,09:16,2022-04-25 09:30:10.034279
BBVA,4.914,-1.84,-0.09,-2.11,4.940,4.886,1310865,32766,09:16,2022-04-25 09:30:10.034279
CAIXABANK,3.037,-1.72,-0.05,31.95,3.059,3.010,897149,24480,09:15,2022-04-25 09:30:10.034279
CELLNEX TELECOM,44.970,-0.38,-0.17,-12.13,45.070,44.340,34209,30549,09:16,2022-04-25 09:30:10.034279
CIE AUTOMOTIVE,20.220,-1.08,-0.22,-25.11,20.240,20.000,8209,2478,09:13,2022-04-25 09:30:10.034279
COLONIAL,8.075,-0.68,-0.06,-2.12,8.080,8.015,37532,4357,09:15,2022-04-25 09:30:10.034279
ENAGAS,20.380,-0.49,-0.10,-0.10,20.430,20.300,30091,5339,09:14,2022-04-25 09:30:10.034279
ENDESA,19.850,-0.05,-0.01,-1.73,19.865,19.505,27988,21016,09:15,2022-04-25 09:30:10.034279
FERROVIAL,24.230,-0.98,-0.24,-12.08,24.350,24.020,48443,17775,09:16,2022-04-25 09:30:10.034279
FLUIDRA,25.600,-1.69,-0.44,-27.27,25.760,25.040,34123,5008,09:16,2022-04-25 09:30:10.034279
GRIFOLS,16.280,0.31,0.05,-3.53,16.320,15.990,127966,6937,09:15,2022-04-25 09:30:10.034279
IAG,1.766,-0.81,-0.01,3.67,1.775,1.730,2619164,8782,09:16,2022-04-25 09:30:10.034279
IBERDROLA,10.510,0.72,0.07,2.66,10.530,10.340,721328,67659,09:15,2022-04-25 09:30:10.034279
INDITEX,20.100,-1.08,-0.22,-29.55,20.270,20.090,271624,62645,09:15,2022-04-25 09:30:10.034279
INDRA,9.285,0.38,0.03,-2.47,9.285,9.100,56707,1640,09:15,2022-04-25 09:30:10.034279
MAPFRE,1.880,-1.05,-0.02,4.13,1.890,1.875,512049,5790,09:15,2022-04-25 09:30:10.034279
MELIÁ HOTELS,6.945,-0.71,-0.05,15.71,6.980,6.850,62443,1531,09:16,2022-04-25 09:30:10.034279
MERLIN PROP,10.730,-0.83,-0.09,12.12,10.860,10.680,52219,5041,09:15,2022-04-25 09:30:10.034279
NATURGY,28.640,-0.31,-0.09,2.13,28.640,28.170,19454,27770,09:16,2022-04-25 09:30:10.034279
PHARMA MAR,75.300,-1.31,-1.00,32.06,75.500,71.020,15557,1382,09:16,2022-04-25 09:30:10.034279
RED ELÉCTRICA,18.610,0.30,0.06,-0.76,18.620,18.415,84422,10069,09:16,2022-04-25 09:30:10.034279
REPSOL,13.010,-1.40,-0.18,28.11,13.090,12.810,548920,20398,09:15,2022-04-25 09:30:10.034279
ROVI,61.650,-1.36,-0.85,-16.46,62.050,61.000,5903,3457,09:13,2022-04-25 09:30:10.034279
SANTANDER,3.122,-1.37,-0.04,6.19,3.129,3.107,3110488,54146,09:16,2022-04-25 09:30:10.034279
SIEMENS GAMESA,15.395,1.55,0.24,-26.93,15.465,14.800,144982,10486,09:15,2022-04-25 09:30:10.034279
SOLARIA,21.360,0.80,0.17,24.77,21.400,20.860,41697,2669,09:14,2022-04-25 09:30:10.034279
TELEFÓNICA,4.792,-1.09,-0.05,24.40,4.799,4.767,748547,27693,09:16,2022-04-25 09:30:10.034279
