ACCIONA,189.000,-0.26,-0.50,12.43,189.700,188.800,4242,10368,09:15,2022-04-27 09:30:28.107157
ACERINOX,9.504,0.57,0.05,-16.52,9.602,9.460,94443,2571,09:15,2022-04-27 09:30:28.107157
ACS,24.470,-0.69,-0.17,5.88,24.570,24.340,62172,7210,09:14,2022-04-27 09:30:28.107157
AENA,142.550,-3.49,-5.15,2.70,146.000,142.050,21448,21382,09:14,2022-04-27 09:30:28.107157
ALMIRALL,12.060,-0.74,-0.09,6.73,12.100,12.000,4011,2168,09:14,2022-04-27 09:30:28.107157
AMADEUS IT GROUP,58.980,-0.24,-0.14,-1.11,59.960,58.980,34047,26570,09:15,2022-04-27 09:30:28.107157
ARCELORMITTAL,27.235,1.30,0.35,-4.02,27.370,26.700,48448,25541,09:14,2022-04-27 09:30:28.107157
BANCO SABADELL,0.711,0.40,0.00,24.83,0.721,0.709,2652591,4000,09:14,2022-04-27 09:30:28.107157
BANKINTER,5.430,0.00,0.00,21.80,5.490,5.430,70362,4881,09:14,2022-04-27 09:30:28.107157
BBVA,4.698,0.33,0.02,-6.41,4.780,4.688,693662,30850,09:14,2022-04-27 09:30:28.107157
CAIXABANK,2.932,-0.10,-0.00,27.38,2.982,2.918,758553,23634,09:15,2022-04-27 09:30:28.107157
CELLNEX TELECOM,45.040,0.31,0.14,-12.00,45.280,44.900,42418,30597,09:15,2022-04-27 09:30:28.107157
CIE AUTOMOTIVE,19.540,0.21,0.04,-27.63,19.630,19.350,24176,2395,09:14,2022-04-27 09:30:28.107157
COLONIAL,8.170,-0.31,-0.02,-0.97,8.190,8.140,32170,4409,09:13,2022-04-27 09:30:28.107157
ENAGAS,20.140,-1.08,-0.22,-1.27,20.370,20.110,30882,5276,09:14,2022-04-27 09:30:28.107157
ENDESA,19.820,-1.00,-0.20,-1.88,19.980,19.790,18419,20984,09:14,2022-04-27 09:30:28.107157
FERROVIAL,24.480,-1.13,-0.28,-11.18,24.740,24.470,32722,17959,09:15,2022-04-27 09:30:28.107157
FLUIDRA,24.920,-0.40,-0.10,-29.20,25.060,24.900,23863,4875,09:14,2022-04-27 09:30:28.107157
GRIFOLS,16.245,-2.34,-0.39,-3.73,16.510,16.240,43649,6922,09:15,2022-04-27 09:30:28.107157
IAG,1.656,-1.43,-0.02,-2.85,1.701,1.653,2017517,8230,09:14,2022-04-27 09:30:28.107157
IBERDROLA,10.430,-1.09,-0.11,1.88,10.485,10.375,913384,67144,09:15,2022-04-27 09:30:28.107157
INDITEX,20.350,0.44,0.09,-28.67,20.490,20.250,169276,63424,09:14,2022-04-27 09:30:28.107157
INDRA,9.165,0.00,0.00,-3.73,9.260,9.165,12302,1619,09:13,2022-04-27 09:30:28.107157
MAPFRE,1.854,-0.59,-0.01,2.69,1.885,1.840,729184,5709,09:14,2022-04-27 09:30:28.107157
MELIÁ HOTELS,7.400,-0.13,-0.01,23.29,7.440,7.355,58627,1631,09:14,2022-04-27 09:30:28.107157
MERLIN PROP,10.550,-1.77,-0.19,10.24,10.680,10.490,48937,4956,09:14,2022-04-27 09:30:28.107157
NATURGY,28.750,-0.73,-0.21,2.52,29.000,28.610,13936,27876,09:14,2022-04-27 09:30:28.107157
PHARMA MAR,71.040,0.54,0.38,24.59,71.920,70.440,6587,1304,09:13,2022-04-27 09:30:28.107157
RED ELÉCTRICA,18.460,-1.42,-0.27,-1.56,19.035,18.410,60984,9988,09:15,2022-04-27 09:30:28.107157
REPSOL,12.790,0.99,0.12,25.95,12.820,12.595,353630,20053,09:15,2022-04-27 09:30:28.107157
ROVI,61.200,-1.53,-0.95,-17.07,61.750,60.950,5975,3431,09:13,2022-04-27 09:30:28.107157
SANTANDER,2.850,0.12,0.00,-3.08,2.900,2.841,6463258,49421,09:15,2022-04-27 09:30:28.107157
SIEMENS GAMESA,14.590,-1.49,-0.22,-30.75,14.860,14.570,150175,9938,09:14,2022-04-27 09:30:28.107157
SOLARIA,20.930,0.05,0.01,22.25,21.250,20.800,26831,2615,09:14,2022-04-27 09:30:28.107157
TELEFÓNICA,4.709,-0.78,-0.04,22.25,4.740,4.702,905574,27214,09:14,2022-04-27 09:30:28.107157
ACCIONA,190.000,0.26,0.50,13.03,190.000,187.800,13866,10423,10:14,2022-04-27 10:30:26.369862
ACERINOX,9.668,2.31,0.22,-15.08,9.720,9.460,242745,2616,10:14,2022-04-27 10:30:26.369862
ACS,24.610,-0.12,-0.03,6.49,24.660,24.240,123355,7252,10:14,2022-04-27 10:30:26.369862
AENA,140.750,-4.71,-6.95,1.40,146.000,139.750,46300,21112,10:15,2022-04-27 10:30:26.369862
ALMIRALL,12.160,0.08,0.01,7.61,12.190,11.970,29534,2186,10:14,2022-04-27 10:30:26.369862
AMADEUS IT GROUP,58.520,-1.01,-0.60,-1.88,59.960,57.840,100296,26363,10:15,2022-04-27 10:30:26.369862
ARCELORMITTAL,27.290,1.51,0.41,-3.82,27.370,26.700,138735,25593,10:13,2022-04-27 10:30:26.369862
BANCO SABADELL,0.720,1.69,0.01,26.45,0.721,0.699,9352927,4051,10:14,2022-04-27 10:30:26.369862
BANKINTER,5.480,0.92,0.05,22.92,5.490,5.384,596239,4926,10:14,2022-04-27 10:30:26.369862
BBVA,4.683,0.02,0.00,-6.70,4.780,4.651,2998176,30755,10:15,2022-04-27 10:30:26.369862
CAIXABANK,2.950,0.51,0.02,28.17,2.982,2.904,1766165,23779,10:15,2022-04-27 10:30:26.369862
CELLNEX TELECOM,45.290,0.87,0.39,-11.51,45.300,44.810,139377,30767,10:15,2022-04-27 10:30:26.369862
CIE AUTOMOTIVE,19.720,1.13,0.22,-26.96,19.720,19.330,74047,2417,10:15,2022-04-27 10:30:26.369862
COLONIAL,8.225,0.37,0.03,-0.30,8.230,8.140,150756,4438,10:15,2022-04-27 10:30:26.369862
ENAGAS,20.440,0.39,0.08,0.20,20.450,20.110,82792,5355,10:15,2022-04-27 10:30:26.369862
ENDESA,19.950,-0.35,-0.07,-1.24,20.020,19.790,83925,21122,10:12,2022-04-27 10:30:26.369862
FERROVIAL,24.570,-0.77,-0.19,-10.85,24.740,24.290,113538,18025,10:14,2022-04-27 10:30:26.369862
FLUIDRA,25.180,0.64,0.16,-28.47,25.180,24.800,89498,4926,10:15,2022-04-27 10:30:26.369862
GRIFOLS,16.235,-2.40,-0.40,-3.79,16.510,16.145,128754,6918,10:14,2022-04-27 10:30:26.369862
IAG,1.689,0.57,0.01,-0.88,1.701,1.625,7444641,8397,10:14,2022-04-27 10:30:26.369862
